loglikelihood,weight,sessions,trial
-0.6904016939044623,0.4,1,1
-0.6899576638285932,0.4,1,2
-0.692730252550833,0.4,1,3
-0.6889111675410642,0.4,1,4
-0.6937496467716054,0.4,1,5
-0.6936183127025708,0.4,1,6
-0.6962866694225326,0.4,1,7
-0.6886756014697515,0.4,1,8
-0.6931742826267019,0.4,1,9
-0.6918922202678601,0.4,1,10
-0.6901932298999062,0.4,2,1
-0.6882315713938827,0.4,2,2
-0.6933056166957366,0.4,2,3
-0.6793384410822597,0.4,2,4
-0.6913168561229566,0.4,2,5
-0.6898263297595587,0.4,2,6
-0.6839684563082449,0.4,2,7
-0.6888340376055428,0.4,2,8
-0.6877604392512571,0.4,2,9
-0.689250965614655,0.4,2,10
-0.6888885795278267,0.4,3,1
-0.6924946864795204,0.4,3,2
-0.683214325041072,0.4,3,3
-0.6907211609915751,0.4,3,4
-0.6907685940448097,0.4,3,5
-0.6912397261874352,0.4,3,6
-0.6862450678478621,0.4,3,7
-0.6797847281848882,0.4,3,8
-0.6874206411776664,0.4,3,9
-0.6742418077671682,0.4,3,10
-0.6748694568075959,0.4,4,1
-0.6865125878282211,0.4,4,2
-0.6938809808406403,0.4,4,3
-0.6803600923297918,0.4,4,4
-0.6900889978976282,0.4,4,5
-0.6834724791256223,0.4,4,6
-0.6856697037029584,0.4,4,7
-0.6840501002972856,0.4,4,8
-0.6909793150761253,0.4,4,9
-0.6907437490048125,0.4,4,10
-0.6868728362946296,0.4,5,1
-0.692705407510836,0.4,5,2
-0.6833434020833471,0.4,5,3
-0.6835541231146627,0.4,5,4
-0.6805979154278642,0.4,5,5
-0.6739791396290988,0.4,5,6
-0.67907589235053,0.4,5,7
-0.688385950671265,0.4,5,8
-0.6845939677282528,0.4,5,9
-0.6787498548199273,0.4,5,10
-0.689334866630455,0.4,6,1
-0.6870334100508407,0.4,6,2
-0.6796241544286766,0.4,6,3
-0.6827702949652031,0.4,6,4
-0.6917587485784054,0.4,6,5
-0.6879756743360921,0.4,6,6
-0.6801835822342818,0.4,6,7
-0.6837356044588018,0.4,6,8
-0.6853552078644748,0.4,6,9
-0.6825098838538933,0.4,6,10
-0.6889161387896935,0.4,7,1
-0.6864828909459345,0.4,7,2
-0.6769350095271272,0.4,7,3
-0.6781628677524555,0.4,7,4
-0.6827862313045016,0.4,7,5
-0.6827431928984464,0.4,7,6
-0.6768609316022457,0.4,7,7
-0.6732525676237924,0.4,7,8
-0.6768244636396803,0.4,7,9
-0.6838420934878394,0.4,7,10
-0.6809719244372607,0.4,8,1
-0.6879508292960947,0.4,8,2
-0.6787612771057066,0.4,8,3
-0.6871332474059393,0.4,8,4
-0.6677894101330137,0.4,8,5
-0.6776944498316996,0.4,8,6
-0.6761879871290033,0.4,8,7
-0.6787950308464025,0.4,8,8
-0.6711045759313405,0.4,8,9
-0.6856697037029584,0.4,8,10
-0.6773254120709322,0.4,9,1
-0.6750784974136015,0.4,9,2
-0.6820987220772907,0.4,9,3
-0.6840664938316937,0.4,9,4
-0.6843047741248762,0.4,9,5
-0.6775494364501262,0.4,9,6
-0.6760814980999658,0.4,9,7
-0.6759772660976876,0.4,9,8
-0.6883434888666595,0.4,9,9
-0.6750288073336074,0.4,9,10
-0.6779477520739603,0.4,10,1
-0.6694876867475371,0.4,10,2
-0.6786389711437103,0.4,10,3
-0.6761564904150671,0.4,10,4
-0.688198018289976,0.4,10,5
-0.6812649769674978,0.4,10,6
-0.6722406582367297,0.4,10,7
-0.6784170843849364,0.4,10,8
-0.6677979428690523,0.4,10,9
-0.6677185559067715,0.4,10,10
-0.6737259567931777,0.4,11,1
-0.669302122301439,0.4,11,2
-0.6711618320754938,0.4,11,3
-0.6769696776580428,0.4,11,4
-0.6735213490102417,0.4,11,5
-0.6711222335770793,0.4,11,6
-0.6770262497267473,0.4,11,7
-0.6630547869400901,0.4,11,8
-0.6744164917874785,0.4,11,9
-0.6797186134247312,0.4,11,10
-0.6696601399846375,0.4,12,1
-0.6777924873551485,0.4,12,2
-0.6728905575016246,0.4,12,3
-0.667901229335356,0.4,12,4
-0.6696418391445802,0.4,12,5
-0.6751471495999843,0.4,12,6
-0.6924773000296828,0.4,12,7
-0.6672979470039105,0.4,12,8
-0.6867330244764561,0.4,12,9
-0.6771945351970075,0.4,12,10
-0.6688106041854358,0.4,13,1
-0.6739640053038165,0.4,13,2
-0.6664847597609344,0.4,13,3
-0.6719182203694267,0.4,13,4
-0.6802083961285247,0.4,13,5
-0.6829180225686463,0.4,13,6
-0.6803751169841106,0.4,13,7
-0.6721589880041392,0.4,13,8
-0.6621667267883525,0.4,13,9
-0.6668808995884588,0.4,13,10
-0.6732077675619779,0.4,14,1
