system,sessions,trial,outcome,p_val
XSqrA_M,1,1,0.5833333333333334,3.9103813836014035e-10
BM25,1,1,0.45454545454545453,1.9469854450745995e-10
Baseline,1,1,0.5,3.2021370888086724e-10
Tf,1,1,0.5,1.4360478845986985e-10
Dl,1,1,0.3333333333333333,2.0323202527176914e-10
Null,1,1,0.0,2.8462697191431864e-11
XSqrA_M,1,2,0.47368421052631576,3.521543598730579e-09
BM25,1,2,0.4444444444444444,2.1824468624358617e-09
Baseline,1,2,0.6470588235294118,3.836000356148364e-09
Tf,1,2,0.42857142857142855,5.415656857169009e-10
Dl,1,2,0.29411764705882354,7.423464026253681e-10
Null,1,2,0.08333333333333333,9.217361811204858e-11
XSqrA_M,1,3,0.45,4.1786416716631105e-09
BM25,1,3,0.42857142857142855,4.860925714487099e-09
Baseline,1,3,0.5882352941176471,3.0255162382232635e-09
Tf,1,3,0.375,8.359365900938847e-10
Dl,1,3,0.4117647058823529,1.351292032809416e-09
Null,1,3,0.14285714285714285,1.7926255412317551e-10
XSqrA_M,1,4,0.6190476190476191,1.641422244527307e-08
BM25,1,4,0.5238095238095238,9.140953152503078e-09
Baseline,1,4,0.625,2.336054168722471e-09
Tf,1,4,0.26666666666666666,3.879254223750997e-10
Dl,1,4,0.375,8.359365900938847e-10
Null,1,4,0.21428571428571427,2.4046693041652666e-10
XSqrA_M,1,5,0.6363636363636364,2.664243468527271e-08
BM25,1,5,0.5,1.0729392938584883e-08
Baseline,1,5,0.47058823529411764,1.7923248521993405e-09
Tf,1,5,0.3888888888888889,1.6197673336979467e-09
Dl,1,5,0.4117647058823529,1.351292032809416e-09
Null,1,5,0.25,4.627391323620127e-10
XSqrA_M,1,6,0.65,1.3195722097136513e-08
BM25,1,6,0.5714285714285714,1.2328824811760408e-08
Baseline,1,6,0.625,2.336054168722471e-09
Tf,1,6,0.4117647058823529,1.351292032809416e-09
Dl,1,6,0.3125,6.252594730523348e-10
Null,1,6,0.26666666666666666,3.879254223750997e-10
XSqrA_M,1,7,0.5416666666666666,2.7402852634174315e-08
BM25,1,7,0.4782608695652174,1.2340954631362586e-08
Baseline,1,7,0.6666666666666666,6.296594039612031e-09
Tf,1,7,0.35294117647058826,1.0068612351282442e-09
Dl,1,7,0.2222222222222222,6.243244619467135e-10
Null,1,7,0.3333333333333333,5.166992602893738e-10
XSqrA_M,1,8,0.6551724137931034,3.9380138964819085e-07
BM25,1,8,0.5185185185185185,5.4583747874610755e-08
Baseline,1,8,0.6190476190476191,1.641422244527307e-08
Tf,1,8,0.3333333333333333,2.491380094475281e-09
Dl,1,8,0.2857142857142857,1.7629654359763814e-09
Null,1,8,0.125,2.464832728078773e-10
XSqrA_M,1,9,0.4666666666666667,6.59770916685909e-08
BM25,1,9,0.4482758620689655,4.285556532967624e-08
Baseline,1,9,0.3333333333333333,2.491380094475281e-09
Tf,1,9,0.4090909090909091,5.548603004421694e-09
Dl,1,9,0.19047619047619047,8.65352540239063e-10
