system,sessions,trial,outcome,p_val
XSqrA_M,1,1,0.64,8.345700333429495e-08
BM25,1,1,0.6538461538461539,1.342021485676956e-07
Baseline,1,1,0.5263157894736842,4.708980436673801e-09
Tf,1,1,0.5,5.676644230612976e-09
Dl,1,1,0.23529411764705882,5.421398201666524e-10
Null,1,1,0.13333333333333333,2.119860679559496e-10
XSqrA_M,1,2,0.71875,2.2412021885176647e-06
BM25,1,2,0.6666666666666666,1.7006559824564433e-06
Baseline,1,2,0.5,3.4685372876799844e-08
Tf,1,2,0.42857142857142855,2.775415674500597e-08
Dl,1,2,0.2916666666666667,3.2842612756637644e-09
Null,1,2,0.047619047619047616,2.853012831142622e-10
XSqrA_M,1,3,0.7941176470588235,1.1432170551736569e-05
BM25,1,3,0.6857142857142857,4.13474837485832e-06
Baseline,1,3,0.5714285714285714,1.2309675748818656e-07
Tf,1,3,0.5,9.759819326488025e-08
Dl,1,3,0.2962962962962963,5.593595072527053e-09
Null,1,3,0.041666666666666664,3.211382964674497e-10
XSqrA_M,1,4,0.8157894736842105,7.412694073244423e-05
BM25,1,4,0.7105263157894737,1.5203357604563708e-05
Baseline,1,4,0.3548387096774194,1.978900978358315e-08
Tf,1,4,0.46875,1.0311496509692029e-07
Dl,1,4,0.3,8.684881644248693e-09
Null,1,4,0.11538461538461539,7.385831052856595e-10
XSqrA_M,1,5,0.7560975609756098,8.206107585136599e-05
BM25,1,5,0.65,9.507809537672393e-06
Baseline,1,5,0.6363636363636364,1.160692081560213e-06
Tf,1,5,0.37142857142857144,4.066976827077233e-08
Dl,1,5,0.18181818181818182,2.1097871806306676e-09
Null,1,5,0.10344827586206896,7.089746808130333e-10
XSqrA_M,1,6,0.6976744186046512,4.666618359144956e-05
BM25,1,6,0.5853658536585366,3.557164763074842e-06
Baseline,1,6,0.6,1.2403947708498856e-06
Tf,1,6,0.4864864864864865,3.269099675270684e-07
Dl,1,6,0.37142857142857144,4.066976827077233e-08
Null,1,6,0.1,6.804371049986855e-10
XSqrA_M,1,7,0.7727272727272727,0.00027268405332300463
BM25,1,7,0.5952380952380952,5.0643153486748686e-06
