weight,sessions,trial,outcome
0.4,1,1,0.7407407407407407
0.45,1,1,0.8518518518518519
0.5,1,1,0.7407407407407407
0.55,1,1,0.8518518518518519
0.6,1,1,0.8
0.65,1,1,0.6956521739130435
0.7,1,1,0.5789473684210527
0.75,1,1,0.42105263157894735
0.8,1,1,0.3684210526315789
0.85,1,1,0.11764705882352941
0.9,1,1,0.17647058823529413
0.95,1,1,0.35294117647058826
1.0,1,1,0.17647058823529413
0.4,1,2,0.696969696969697
0.45,1,2,0.75
0.5,1,2,0.6451612903225806
0.55,1,2,0.6451612903225806
0.6,1,2,0.7419354838709677
0.65,1,2,0.7
0.7,1,2,0.5
0.75,1,2,0.34615384615384615
0.8,1,2,0.4
0.85,1,2,0.3333333333333333
0.9,1,2,0.2916666666666667
0.95,1,2,0.20833333333333334
1.0,1,2,0.25
0.4,1,3,0.7647058823529411
0.45,1,3,0.8181818181818182
0.5,1,3,0.71875
0.55,1,3,0.65625
0.6,1,3,0.6875
0.65,1,3,0.6129032258064516
0.7,1,3,0.5357142857142857
0.75,1,3,0.42857142857142855
0.8,1,3,0.35714285714285715
0.85,1,3,0.25
0.9,1,3,0.32142857142857145
0.95,1,3,0.2222222222222222
1.0,1,3,0.2222222222222222
0.4,1,4,0.6756756756756757
0.45,1,4,0.7222222222222222
0.5,1,4,0.75
0.55,1,4,0.75
0.6,1,4,0.6571428571428571
0.65,1,4,0.5588235294117647
0.7,1,4,0.22580645161290322
0.75,1,4,0.45161290322580644
0.8,1,4,0.3225806451612903
0.85,1,4,0.3870967741935484
0.9,1,4,0.3548387096774194
0.95,1,4,0.26666666666666666
1.0,1,4,0.23333333333333334
0.4,1,5,0.6923076923076923
0.45,1,5,0.7105263157894737
0.5,1,5,0.7105263157894737
0.55,1,5,0.6666666666666666
0.6,1,5,0.6842105263157895
0.65,1,5,0.6388888888888888
0.7,1,5,0.5757575757575758
0.75,1,5,0.5151515151515151
0.8,1,5,0.3939393939393939
0.85,1,5,0.30303030303030304
0.9,1,5,0.21212121212121213
0.95,1,5,0.3333333333333333
1.0,1,5,0.36363636363636365
0.4,1,6,0.675
0.45,1,6,0.625
0.5,1,6,0.6410256410256411
0.55,1,6,0.7
0.6,1,6,0.7435897435897436
0.65,1,6,0.5945945945945946
0.7,1,6,0.4
0.75,1,6,0.42857142857142855
0.8,1,6,0.3142857142857143
0.85,1,6,0.4
0.9,1,6,0.34285714285714286
0.95,1,6,0.3142857142857143
1.0,1,6,0.37142857142857144
0.4,1,7,0.6585365853658537
0.45,1,7,0.6097560975609756
0.5,1,7,0.6
0.55,1,7,0.6341463414634146
0.6,1,7,0.75
0.65,1,7,0.5641025641025641
0.7,1,7,0.5675675675675675
0.75,1,7,0.5135135135135135
0.8,1,7,0.40540540540540543
0.85,1,7,0.35135135135135137
0.9,1,7,0.3783783783783784
0.95,1,7,0.40540540540540543
1.0,1,7,0.24324324324324326
0.4,1,8,0.6666666666666666
0.45,1,8,0.6428571428571429
0.5,1,8,0.6666666666666666
0.55,1,8,0.6511627906976745
0.6,1,8,0.6904761904761905
0.65,1,8,0.5365853658536586
0.7,1,8,0.5128205128205128
0.75,1,8,0.5641025641025641
0.8,1,8,0.41025641025641024
0.85,1,8,0.358974358974359
0.9,1,8,0.38461538461538464
0.95,1,8,0.41025641025641024
1.0,1,8,0.41025641025641024
0.4,1,9,0.5476190476190477
0.45,1,9,0.6428571428571429
0.5,1,9,0.5952380952380952
0.55,1,9,0.6976744186046512
0.6,1,9,0.5952380952380952
0.65,1,9,0.6097560975609756
0.7,1,9,0.41025641025641024
0.75,1,9,0.48717948717948717
0.8,1,9,0.5384615384615384
0.85,1,9,0.48717948717948717
0.9,1,9,0.38461538461538464
0.95,1,9,0.3076923076923077
1.0,1,9,0.41025641025641024
0.4,1,10,0.6190476190476191
0.45,1,10,0.6190476190476191
0.5,1,10,0.6190476190476191
0.55,1,10,0.627906976744186
0.6,1,10,0.6428571428571429
0.65,1,10,0.6341463414634146
0.7,1,10,0.46153846153846156
0.75,1,10,0.46153846153846156
0.8,1,10,0.41025641025641024
0.85,1,10,0.358974358974359
0.9,1,10,0.3333333333333333
0.95,1,10,0.38461538461538464
1.0,1,10,0.38461538461538464
0.4,2,1,0.5476190476190477
0.45,2,1,0.5238095238095238
0.5,2,1,0.5714285714285714
0.55,2,1,0.6744186046511628
0.6,2,1,0.6190476190476191
0.65,2,1,0.5853658536585366
0.7,2,1,0.48717948717948717
0.75,2,1,0.358974358974359
0.8,2,1,0.358974358974359
0.85,2,1,0.48717948717948717
0.9,2,1,0.3333333333333333
0.95,2,1,0.3076923076923077
1.0,2,1,0.358974358974359
0.4,2,2,0.6341463414634146
0.45,2,2,0.5121951219512195
0.5,2,2,0.5609756097560976
0.55,2,2,0.6190476190476191
0.6,2,2,0.6428571428571429
0.65,2,2,0.5853658536585366
0.7,2,2,0.5128205128205128
0.75,2,2,0.41025641025641024
0.8,2,2,0.38461538461538464
0.85,2,2,0.38461538461538464
0.9,2,2,0.38461538461538464
0.95,2,2,0.15384615384615385
1.0,2,2,0.38461538461538464
0.4,2,3,0.6341463414634146
0.45,2,3,0.6585365853658537
0.5,2,3,0.7073170731707317
0.55,2,3,0.6428571428571429
0.6,2,3,0.7142857142857143
0.65,2,3,0.5609756097560976
0.7,2,3,0.46153846153846156
0.75,2,3,0.3333333333333333
0.8,2,3,0.38461538461538464
0.85,2,3,0.2564102564102564
0.9,2,3,0.358974358974359
0.95,2,3,0.1794871794871795
1.0,2,3,0.28205128205128205
0.4,2,4,0.6585365853658537
0.45,2,4,0.6585365853658537
0.5,2,4,0.7073170731707317
0.55,2,4,0.7380952380952381
0.6,2,4,0.7142857142857143
0.65,2,4,0.6341463414634146
0.7,2,4,0.5897435897435898
0.75,2,4,0.3333333333333333
0.8,2,4,0.48717948717948717
