qid,query,cnt
1546366,covid-19 and pregnancy,330
38365,heart failure guidelines,319
81051,pancreatitis acute,310
4152,dental implants,260
2196,fall prevention elderly,253
132219,bronchiolitis children,223
1233319,Mindfulness-based Emotion regulation,222
16815,family presence resuscitation,217
21933,hypertension guidelines,208
46272,chlorhexidine bathing,198
72038,sore throat antibiotics,185
323,cardiac arrest,185
66175,oxygen therapy myocardial infarction,180
6676,pancreatic cancer,175
5114,upper gastrointestinal bleeding,164
353532,cannabis chronic pain,164
5781,common cold,161
1271352,dialysis anemia,160
4552,medication errors,159
565970,Diamond and Forrester Chest Pain Prediction Rule,155
8599,pressure ulcer repositioning,151
81463,intrapartum care,151
18213,malnutrition elderly,147
7746,tranexamic acid trauma,139
35662,neck pain,136
1460014,posttraumatic stress disorder ,135
84203,appendicitis diagnosis,135
27305,mediterranean diet,133
56508,alarm fatigue,129
587667,sex trafficking,129
88876,copd treatment,125
283674,repositioning prevent pressure ulcers,125
807993,hypertension elderly treatment,125
1575974,delivery and perineal massage and episiotomy,125
304653,back pain adolescent,125
9314,gastric cancer,124
49234,cohort study,124
28850,low back pain treatment,124
11111,compression stockings,123
29917,sciatica treatment,121
128580,perioperative hypothermia,120
3314,preeclampsia prevention,119
28717,generalized anxiety disorder,119
13912,depression elderly,118
8869,bladder cancer,117
6419,urinary tract infections,114
150915,cerebral palsy physiotherapy,114
48646,wound cleansing,114
17885,obesity treatment,113
16140,alcohol dependence,113
