loglikelihood,system,sessions,trial
-0.6710553487119434,XSqrA_M,1,1
-0.6637590626007861,XSqrA_M,2,1
-0.6575514672542004,XSqrA_M,3,1
-0.6501337715497019,XSqrA_M,4,1
-0.6414571024082036,XSqrA_M,5,1
-0.6335688219355754,XSqrA_M,6,1
-0.6189896695232333,XSqrA_M,7,1
-0.6125938659897359,XSqrA_M,8,1
-0.6325727969340605,XSqrA_M,9,1
-0.614090879604837,XSqrA_M,10,1
-0.611117449134408,XSqrA_M,11,1
-0.6142453449555084,XSqrA_M,12,1
-0.6026289063063932,XSqrA_M,13,1
-0.6024254497239223,XSqrA_M,14,1
-0.6133884737881715,XSqrA_M,15,1
-0.5991938897202307,XSqrA_M,16,1
-0.599807494892788,XSqrA_M,17,1
-0.5962728163308969,XSqrA_M,18,1
-0.5873480792550974,XSqrA_M,19,1
-0.5970075677868604,XSqrA_M,20,1
-0.5901722465880083,XSqrA_M,21,1
-0.58809867027838,XSqrA_M,22,1
-0.5920148846338474,XSqrA_M,23,1
-0.5896143660835601,XSqrA_M,24,1
-0.5849499758205388,XSqrA_M,25,1
-0.5850906953203603,XSqrA_M,26,1
-0.5849757982180721,XSqrA_M,27,1
-0.5740912662631935,XSqrA_M,28,1
-0.5728181710925253,XSqrA_M,29,1
-0.5774133233828975,XSqrA_M,30,1
-0.5758219948830124,XSqrA_M,31,1
-0.5777873000574558,XSqrA_M,32,1
-0.582179120575707,XSqrA_M,33,1
-0.5833420296714935,XSqrA_M,34,1
-0.5652417060313999,XSqrA_M,35,1
-0.5741883732363917,XSqrA_M,36,1
-0.5739920213083757,XSqrA_M,37,1
-0.5790588843790858,XSqrA_M,38,1
-0.5707680318508391,XSqrA_M,39,1
-0.5737336067938985,XSqrA_M,40,1
-0.5731069082988244,XSqrA_M,41,1
-0.5695361110856106,XSqrA_M,42,1
-0.5741124701937116,XSqrA_M,43,1
-0.5668748699422526,XSqrA_M,44,1
-0.5694160530815027,XSqrA_M,45,1
-0.5691783467839248,XSqrA_M,46,1
-0.5719563839097481,XSqrA_M,47,1
-0.5692753676878726,XSqrA_M,48,1
-0.567425199862197,XSqrA_M,49,1
-0.5612036062909153,XSqrA_M,50,1
-0.5626579125698388,XSqrA_M,51,1
-0.5666128976314004,XSqrA_M,52,1
-0.5655891151486265,XSqrA_M,53,1
-0.562280640386636,XSqrA_M,54,1
-0.5687782928070781,XSqrA_M,55,1
-0.5678073423096034,XSqrA_M,56,1
-0.5659819366357879,XSqrA_M,57,1
-0.5630236913989135,XSqrA_M,58,1
-0.5597616067860408,XSqrA_M,59,1
-0.5631155837737266,XSqrA_M,60,1
-0.5572953927650887,XSqrA_M,61,1
-0.5599412798117666,XSqrA_M,62,1
-0.5599467198230562,XSqrA_M,63,1
-0.5557901609891296,XSqrA_M,64,1
-0.5598181936190706,XSqrA_M,65,1
-0.5606053605841396,XSqrA_M,66,1
-0.5569401381175885,XSqrA_M,67,1
-0.560396570457581,XSqrA_M,68,1
-0.5545018760625141,XSqrA_M,69,1
-0.5555683171537321,XSqrA_M,70,1
-0.5565294391902187,XSqrA_M,71,1
-0.5554546411796054,XSqrA_M,72,1
-0.5571886131811489,XSqrA_M,73,1
-0.5536390283952695,XSqrA_M,74,1
-0.5565694761246001,XSqrA_M,75,1
-0.5568892479446597,XSqrA_M,76,1
-0.5534646326900133,XSqrA_M,77,1
-0.5552822574101594,XSqrA_M,78,1
-0.550604549935571,XSqrA_M,79,1
-0.5577146448571968,XSqrA_M,80,1
-0.5547459361902057,XSqrA_M,81,1
-0.5568044930895544,XSqrA_M,82,1
-0.5529740416095991,XSqrA_M,83,1
-0.5505297493147071,XSqrA_M,84,1
-0.5568944291254745,XSqrA_M,85,1
-0.5521175700485657,XSqrA_M,86,1
-0.5525948573241607,XSqrA_M,87,1
-0.5530859364153485,XSqrA_M,88,1
-0.5554995655932126,XSqrA_M,89,1
-0.5507084094631601,XSqrA_M,90,1
-0.5488599020287795,XSqrA_M,91,1
-0.5493498106955923,XSqrA_M,92,1
-0.551970819141811,XSqrA_M,93,1
-0.5514335660719428,XSqrA_M,94,1
-0.552856425335213,XSqrA_M,95,1
-0.5501073247948697,XSqrA_M,96,1
-0.5490486794181251,XSqrA_M,97,1
-0.5549888608352472,XSqrA_M,98,1
-0.5504276106063547,XSqrA_M,99,1
-0.5515254043430046,XSqrA_M,100,1
-0.6730165676111513,BM25,1,1
-0.6669244423138022,BM25,2,1
-0.66019500877954,BM25,3,1
-0.656040765314362,BM25,4,1
-0.6500976664766399,BM25,5,1
-0.6490018330229379,BM25,6,1
-0.632556671347811,BM25,7,1
-0.6294903033103503,BM25,8,1
-0.6438359336603385,BM25,9,1
-0.629298591611068,BM25,10,1
-0.6223421471190718,BM25,11,1
-0.6223818014169492,BM25,12,1
-0.6179120586670487,BM25,13,1
-0.6184804857388257,BM25,14,1
-0.6267595845461196,BM25,15,1
-0.6130320341211803,BM25,16,1
-0.6132088363003843,BM25,17,1
-0.6119886271884085,BM25,18,1
-0.605284961114517,BM25,19,1
-0.611252641066354,BM25,20,1
-0.6087421259136331,BM25,21,1
-0.600958997467029,BM25,22,1
-0.606315840102635,BM25,23,1
-0.6024733266371244,BM25,24,1
-0.5977353793476542,BM25,25,1
-0.5993648697530422,BM25,26,1
-0.6020124795665288,BM25,27,1
-0.5945536738842243,BM25,28,1
-0.5919845939224432,BM25,29,1
-0.5950296804251686,BM25,30,1
-0.5934019579747849,BM25,31,1
-0.597878902518626,BM25,32,1
-0.5944116484238213,BM25,33,1
-0.5983314901101873,BM25,34,1
-0.5830686384577456,BM25,35,1
-0.5935870906959424,BM25,36,1
-0.5926829374931891,BM25,37,1
-0.5990797340454992,BM25,38,1
-0.5863673800606675,BM25,39,1
-0.5925600612496215,BM25,40,1
-0.5918185539456592,BM25,41,1
-0.5856213796137866,BM25,42,1
-0.5939624497054791,BM25,43,1
-0.5843814789949056,BM25,44,1
-0.5870949584044182,BM25,45,1
-0.5871929936217497,BM25,46,1
-0.5883802118792784,BM25,47,1
-0.5880447474968249,BM25,48,1
-0.5854223859224787,BM25,49,1
-0.5804493529397599,BM25,50,1
-0.5810785118231324,BM25,51,1
-0.5859450137841336,BM25,52,1
-0.5838008635019044,BM25,53,1
-0.5803048539069365,BM25,54,1
-0.5860012738213003,BM25,55,1
-0.5869437477887733,BM25,56,1
-0.5838082001192071,BM25,57,1
-0.5810297718752505,BM25,58,1
-0.5790532007186339,BM25,59,1
-0.5799849583097147,BM25,60,1
-0.5750615858537366,BM25,61,1
-0.5794678869035943,BM25,62,1
-0.5793174821817025,BM25,63,1
-0.5732663751592625,BM25,64,1
-0.5767602419720659,BM25,65,1
-0.5786283658576947,BM25,66,1
-0.5779123661936415,BM25,67,1
-0.5791725184271916,BM25,68,1
-0.5749608950299754,BM25,69,1
-0.5746020372535535,BM25,70,1
-0.5768911768729975,BM25,71,1
-0.5739328848206752,BM25,72,1
-0.5745500735912703,BM25,73,1
-0.5724123537241421,BM25,74,1
-0.5749212861896611,BM25,75,1
-0.5746482745352484,BM25,76,1
-0.5722511436491744,BM25,77,1
-0.5732650869928735,BM25,78,1
-0.5696034476611331,BM25,79,1
-0.5750959641963274,BM25,80,1
-0.5720068633478417,BM25,81,1
-0.5744684100794069,BM25,82,1
-0.5710561481373345,BM25,83,1
-0.5698160714865984,BM25,84,1
-0.5748886781860808,BM25,85,1
-0.5708546393892749,BM25,86,1
-0.5713003957632903,BM25,87,1
-0.5716897332673344,BM25,88,1
-0.5737614081778597,BM25,89,1
-0.5707453581919518,BM25,90,1
-0.5691040852377799,BM25,91,1
